#Frame   Contacts_00007[native] Contacts_00007[nonnative] Contacts_00007[mindist]
       1                   5265                         0                  1.8665
       2                   3869                      1216                  1.9261
       3                   3464                      1346                  1.8040
       4                   3580                      1206                  1.7544
       5                   3001                      1388                  2.0013
       6                   3210                      1337                  1.9000
       7                   3428                      1539                  1.9713
       8                   3296                      1149                  1.8339
       9                   3213                      1339                  1.7687
      10                   2841                      1170                  1.7705
      11                   2318                      1279                  1.8195
      12                   2479                      1420                  1.9270
      13                   2315                      1613                  1.6927
      14                   2286                      1253                  2.1175
      15                   2501                      1377                  2.1025
      16                   2399                      1410                  1.8554
      17                   2337                      1562                  1.7477
      18                   2277                      1486                  2.1179
      19                   2613                      1683                  1.8042
      20                   2648                      1391                  1.5632
      21                   2715                      1676                  1.8074
      22                   2496                      1671                  1.8736
      23                   2598                      1839                  1.8828
      24                   2551                      1604                  1.7372
      25                   2762                      1556                  1.9402
      26                   2536                      1573                  1.7467
      27                   2486                      1501                  1.7883
      28                   2346                      1268                  2.1033
      29                   2473                      1489                  1.7878
      30                   2567                      1866                  1.7868
      31                   2620                      1700                  1.5884
      32                   2589                      1909                  1.6288
      33                   2558                      2129                  1.8707
      34                   2655                      2086                  1.8184
      35                   2526                      1643                  1.8372
      36                   2429                      1623                  1.7228
      37                   2632                      1815                  1.7583
      38                   2579                      1362                  1.8255
      39                   2356                      1567                  1.6740
      40                   2606                      1559                  1.9734
      41                   2340                      1367                  1.8449
      42                   2202                      1187                  1.8437
      43                   2251                      1387                  1.9062
      44                   2145                      1236                  1.8649
      45                   2182                      1556                  2.0766
      46                   2300                      1569                  1.8636
      47                   2194                      1566                  1.8636
      48                   2140                      1535                  1.8567
      49                   2079                      1536                  1.8701
      50                   2161                      1797                  1.8893
      51                   2046                      1507                  1.9783
      52                   2117                      1625                  1.6473
      53                   2022                      1426                  1.7096
      54                   1956                      1611                  1.8075
      55                   2260                      1740                  1.8388
      56                   2210                      1671                  1.8576
      57                   1956                      1504                  1.9386
      58                   2064                      1507                  1.9817
      59                   1967                      1417                  2.0661
      60                   1907                      1496                  1.7245
      61                   2024                      1440                  1.9005
      62                   1924                      1446                  1.9456
      63                   1900                      1473                  2.0968
      64                   2091                      2048                  1.8491
      65                   2084                      1823                  1.8625
      66                   2308                      1737                  1.6402
      67                   1987                      1376                  2.0563
      68                   1977                      1231                  2.1503
      69                   1999                      1434                  1.7720
      70                   2154                      1358                  1.8678
      71                   2206                      1623                  1.7194
      72                   2136                      1528                  1.9247
      73                   2106                      1578                  1.6964
      74                   2063                      1303                  1.7814
      75                   1886                      1531                  1.8943
      76                   2025                      1516                  1.7612
      77                   1940                      1254                  1.7649
      78                   2055                      1229                  1.8215
      79                   2000                      1014                  1.8342
      80                   2182                      1139                  1.8100
      81                   1952                      1458                  1.8786
      82                   2117                      1128                  1.8107
      83                   1969                      1292                  1.9266
      84                   1993                      1547                  1.8457
      85                   1924                      1187                  1.8380
      86                   2169                      1341                  1.9784
      87                   2098                      1288                  1.7970
      88                   1830                      1312                  1.9156
      89                   2012                      1125                  1.9954
      90                   2146                      1498                  1.7064
      91                   2189                      1484                  1.7816
      92                   2186                      1177                  2.1262
      93                   2158                      1250                  1.8242
      94                   1986                      1199                  1.8400
      95                   1983                      1403                  1.7521
      96                   2190                      1435                  1.9518
      97                   2223                      1313                  1.8191
      98                   2240                      1471                  1.8964
      99                   2145                      1582                  1.7919
     100                   2286                      1489                  1.9538
     101                   2025                      1365                  1.9505
     102                   2051                      1368                  1.8858
     103                   2105                      1277                  1.8217
     104                   1960                      1587                  1.9078
     105                   2144                      1510                  1.7780
     106                   2321                      1558                  1.6976
     107                   2314                      1681                  1.7878
     108                   2109                      1606                  1.8808
     109                   2054                      1436                  1.8274
     110                   2143                      1609                  1.7564
     111                   2345                      1513                  1.8226
     112                   2132                      1557                  1.8809
     113                   1844                      1196                  1.8103
     114                   2099                      1339                  1.9757
     115                   2056                      1550                  2.0364
     116                   1810                      1306                  1.7754
     117                   1926                      1345                  1.8018
     118                   1751                      1606                  1.8438
     119                   1784                      1329                  1.8589
     120                   1963                      1322                  1.9021
     121                   1837                      1755                  1.7882
     122                   1919                      1710                  1.8216
     123                   1914                      1788                  1.8864
     124                   1847                      1433                  1.7761
     125                   1883                      1199                  1.8465
     126                   1963                      1353                  1.7160
     127                   2072                      1511                  1.7429
     128                   2036                      1367                  2.0697
     129                   2200                      1679                  2.1434
     130                   2038                      1305                  1.7724
     131                   1989                      1494                  1.6736
     132                   2376                      1381                  1.7974
     133                   2011                      1287                  1.8325
     134                   1872                      1411                  1.8396
     135                   1916                      1364                  1.6957
     136                   2054                      1501                  1.7617
     137                   2158                      1490                  1.9079
     138                   2069                      1410                  1.8057
     139                   2121                      1270                  1.7339
     140                   1988                      1444                  1.8014
     141                   2105                      1345                  1.6581
     142                   1981                      1381                  1.7049
     143                   2027                      1523                  1.7054
     144                   2120                      1310                  2.0210
     145                   2013                      1312                  1.6891
     146                   1950                      1544                  1.9419
     147                   1948                      1499                  1.6948
     148                   1890                      1401                  1.7781
     149                   2041                      1456                  1.7976
     150                   2010                      1466                  1.5984
     151                   2087                      1548                  1.6287
     152                   2013                      1538                  1.8298
     153                   2081                      1468                  1.5328
     154                   2183                      1619                  2.0293
     155                   2101                      1624                  1.9445
     156                   2018                      1437                  1.9964
     157                   2029                      1494                  1.8605
     158                   2119                      1637                  1.8289
     159                   2170                      1516                  2.1507
     160                   2018                      1560                  2.0268
     161                   2144                      1587                  1.7296
     162                   2055                      1400                  1.7501
     163                   2042                      1580                  1.9445
     164                   2092                      1411                  1.9863
     165                   1969                      1552                  1.7734
     166                   1944                      1520                  1.8340
     167                   1903                      1226                  1.8022
     168                   2007                      1356                  1.7265
     169                   1851                      1381                  1.7919
     170                   1949                      1608                  1.8105
     171                   1837                      1765                  1.8770
     172                   1856                      1590                  2.1157
     173                   1963                      1600                  1.9879
     174                   1987                      1516                  1.9844
     175                   2000                      1612                  1.9067
     176                   1973                      1374                  2.1439
     177                   1954                      1756                  1.9476
     178                   1678                      1176                  1.8476
     179                   1664                      1376                  1.7456
     180                   1573                      1397                  1.7679
     181                   1752                      1214                  1.6940
     182                   1577                      1403                  1.8994
     183                   1599                      1220                  1.7359
     184                   1454                      1594                  1.7687
     185                   1643                      1405                  1.8031
     186                   1652                      1475                  1.7500
     187                   1626                      1371                  1.7331
     188                   1586                      1327                  1.8735
     189                   1750                      1348                  1.9190
     190                   1698                      1451                  1.8266
     191                   1540                      1419                  1.7503
     192                   1469                      1376                  1.9478
     193                   1593                      1321                  1.7663
     194                   1736                      1347                  1.7365
     195                   1732                      1216                  1.8459
     196                   1710                      1357                  1.9129
     197                   1545                      1220                  1.9939
     198                   1642                      1151                  1.8233
     199                   1535                      1229                  1.8986
     200                   1510                      1292                  1.7811
     201                   1382                      1033                  1.7840
     202                   1468                      1457                  1.7068
     203                   1392                      1253                  1.8597
     204                   1361                      1258                  1.8930
     205                   1406                      1333                  1.9714
     206                   1355                      1303                  1.8175
     207                   1400                      1410                  1.6876
     208                   1496                      1278                  1.8617
     209                   1476                      1353                  1.9436
     210                   1488                       968                  1.6797
     211                   1506                      1018                  1.9883
     212                   1534                      1193                  1.7521
     213                   1448                      1100                  1.7427
     214                   1318                      1357                  1.7883
     215                   1234                      1039                  1.8613
     216                   1395                      1129                  1.9541
     217                   1377                      1255                  1.9987
     218                   1402                      1305                  1.9673
     219                   1476                      1376                  1.6497
     220                   1422                      1216                  1.6813
     221                   1327                      1359                  1.6814
