#Frame   Contacts_00007[native] Contacts_00007[nonnative] Contacts_00007[mindist]
       1                   1496                         0                  1.8665
       2                    861                       609                  1.9261
       3                    778                       600                  1.8040
       4                    814                       568                  1.7544
       5                    615                       609                  2.0013
       6                    707                       533                  1.9000
       7                    774                       625                  1.9713
       8                    745                       616                  1.8339
       9                    688                       539                  1.7687
      10                    652                       544                  1.7705
      11                    470                       505                  1.8195
      12                    492                       590                  1.9270
      13                    456                       676                  1.6927
      14                    459                       547                  2.1175
      15                    519                       561                  2.1025
      16                    476                       627                  1.8554
      17                    465                       655                  1.7477
      18                    433                       579                  2.1179
      19                    544                       670                  1.8042
      20                    563                       586                  1.5632
      21                    571                       710                  1.8074
      22                    489                       730                  1.8736
      23                    512                       778                  1.8828
      24                    524                       679                  1.7372
      25                    603                       669                  1.9402
      26                    545                       634                  1.7467
      27                    497                       624                  1.7883
      28                    442                       572                  2.1033
      29                    471                       592                  1.7878
      30                    514                       727                  1.7868
      31                    508                       726                  1.5884
      32                    507                       729                  1.6288
      33                    528                       762                  1.8707
      34                    562                       763                  1.8184
      35                    556                       629                  1.8372
      36                    474                       633                  1.7228
      37                    583                       687                  1.7583
      38                    537                       490                  1.8255
      39                    487                       620                  1.6740
      40                    519                       581                  1.9734
      41                    479                       545                  1.8449
      42                    459                       460                  1.8437
      43                    454                       586                  1.9062
      44                    438                       456                  1.8649
      45                    426                       565                  2.0766
      46                    439                       549                  1.8636
      47                    447                       610                  1.8636
      48                    447                       560                  1.8567
      49                    414                       555                  1.8701
      50                    425                       671                  1.8893
      51                    387                       583                  1.9783
      52                    429                       629                  1.6473
      53                    434                       461                  1.7096
      54                    381                       552                  1.8075
      55                    442                       646                  1.8388
      56                    475                       669                  1.8576
      57                    381                       574                  1.9386
      58                    399                       637                  1.9817
      59                    362                       523                  2.0661
      60                    379                       595                  1.7245
      61                    386                       587                  1.9005
      62                    370                       581                  1.9456
      63                    390                       550                  2.0968
      64                    422                       781                  1.8491
      65                    436                       715                  1.8625
      66                    516                       649                  1.6402
      67                    374                       562                  2.0563
      68                    427                       450                  2.1503
      69                    429                       553                  1.7720
      70                    454                       580                  1.8678
      71                    504                       678                  1.7194
      72                    467                       648                  1.9247
      73                    450                       639                  1.6964
      74                    439                       532                  1.7814
      75                    370                       599                  1.8943
      76                    439                       593                  1.7612
      77                    391                       504                  1.7649
      78                    429                       534                  1.8215
      79                    425                       447                  1.8342
      80                    469                       469                  1.8100
      81                    421                       534                  1.8786
      82                    454                       403                  1.8107
      83                    413                       543                  1.9266
      84                    408                       633                  1.8457
      85                    392                       512                  1.8380
      86                    464                       525                  1.9784
      87                    452                       514                  1.7970
      88                    366                       540                  1.9156
      89                    410                       458                  1.9954
      90                    459                       630                  1.7064
      91                    488                       601                  1.7816
      92                    490                       457                  2.1262
      93                    478                       543                  1.8242
      94                    417                       477                  1.8400
      95                    397                       573                  1.7521
      96                    434                       654                  1.9518
      97                    460                       595                  1.8191
      98                    497                       628                  1.8964
      99                    441                       696                  1.7919
